Produto,Quantidade,Valor Unitário,Valor Total,Supermercado
"TOMATE GRAPE SERRAS 3006-BJ VRM 1UN 8,99",1.0,8.99,8.99,Comercial Dahama
,,,,
"6,99",1.0,6.99,6.99,Comercial Dahama
"5,99",1.0,5.99,5.99,Comercial Dahama
"32,99",1.0,16.43,16.43,Comercial Dahama
"MACA NAC VRM GALA kg0,395KG 18,99",1.0,7.5,7.5,Comercial Dahama
"COMBINADO SUSHI GOURMET SN kg-BJ0,252KG 149,90",1.0,37.77,37.77,Comercial Dahama
"CENOURA VRM kg0,555KG 8,99",1.0,4.99,4.99,Comercial Dahama
"12,99",1.0,12.99,12.99,Comercial Dahama
"LIMAO TAHITI kg1,075KG 5,99",1.0,6.44,6.44,Comercial Dahama
BROCOLIS NINJA ELEVE UN1UN 13.99,1.0,13.99,13.99,Comercial Dahama
"SASHIMI SALMAO SN kg-BJ0,108KG 179,90",1.0,19.43,19.43,Comercial Dahama
"39,99",1.0,39.99,39.99,Comercial Dahama
-10.00,1.0,29.99,29.99,Comercial Dahama
"1,99",1.0,3.98,3.98,Comercial Dahama
1.99,1.0,3.98,3.98,Comercial Dahama
"BANANA PRATA kg0,640KG 8.49",1.0,5.43,5.43,Comercial Dahama
